f_Hz,omega_rad_s,ReZ_ohm,ImZ_ohm,absZ_ohm,phase_deg,I_amp_A,V_rms_V,I_rms_A,S_VA,P_W,Q_var,pf
2497.2718513952964,15690.82180472009,50.0,-60.59336050406856,78.55924730530465,-50.471474173250364,0.01272924619699705,0.7071067811865475,0.009000936305289685,0.006364623098498524,0.004050842718594096,-0.004909083463861064,0.6364623098498525
2506.8771070170983,15751.173405714699,50.0,-60.337098880761026,78.3617604533406,-50.352219604755426,0.012761326369070484,0.7071067811865475,0.009023620412504442,0.006380663184535241,0.004071286267448342,-0.0049129920418183,0.6380663184535242
2516.519307329364,15811.75713704561,50.0,-60.081726465558546,78.16529827923769,-50.23277988891138,0.012793400933846632,0.7071067811865475,0.009046300554761263,0.006396700466923315,0.0040917776863536965,-0.004916821354187576,0.6396700466923316
2526.1985944324456,15872.573891555665,50.0,-59.82723949495188,77.96985690371844,-50.113156038412576,0.012825469222482429,0.7071067811865475,0.009068976259116682,0.006412734611241214,0.0041123165194211,-0.004920570905729062,0.6412734611241214
2535.915110973247,15933.624565521795,50.0,-59.5736342184811,77.77543245779725,-49.993349073403024,0.012857530564585714,0.7071067811865475,0.009091647051531856,0.006428765282292856,0.0041329023054813945,-0.004924240204149318,0.6428765282292856
2545.6690001473385,15994.910058668305,50.0,-59.32090689867997,77.58202108273449,-49.873360021418065,0.012889584288266824,0.7071067811865475,0.00911431245690905,0.006444792144133411,0.004153534578108375,-0.004927828760168298,0.6444792144133413
2555.4604057010633,16056.431274180106,50.0,-59.06905381102107,77.38961892999153,-49.75318991732506,0.012921629720190553,0.7071067811865475,0.009136971999128371,0.006460814860095276,0.004174212865642795,-0.004931336087586214,0.6460814860095278
2565.2894719336555,16118.189118716024,50.0,-58.8180712438608,77.19822216118635,-49.63283980326272,0.012953666185628548,0.7071067811865475,0.009159625201084825,0.006476833092814273,0.00419493669121741,-0.004934761703350226,0.6476833092814274
2575.156343699368,16180.184502422173,50.0,-58.567955498384684,77.0078269480497,-49.512310728579315,0.012985693008512118,0.7071067811865475,0.009182271584725657,0.006492846504256058,0.004215705572783012,-0.0049381051276209545,0.6492846504256059
2585.0611664096054,16242.418338945356,50.0,-58.31870288855297,76.81842947238192,-49.3916037497697,0.013017709511485445,0.7071067811865475,0.009204910671087977,0.0065088547557427216,0.004236519023135465,-0.004941365883838796,0.6508854755742722
2595.00408603507,16304.891545446542,50.0,-58.070309741046145,76.63002592601048,-49.27071993041105,0.013049715015959178,0.7071067811865475,0.00922754198033665,0.0065248575079795874,0.004257376549943759,-0.00494454349879001,0.6524857507979588
2604.985249107909,16367.605042614368,50.0,-57.822772395210905,76.44261251074798,-49.14966034109745,0.013081708842164416,0.7071067811865475,0.009250165031802477,0.006540854421082207,0.004278277655779065,-0.004947637502672588,0.6540854421082207
